Image Name,Category,No.1 Style,No.2 Style,No.3 Style,No.4 Style,Style 1 Keywords,Style 2 Keywords,Style 3 Keywords,Style 4 Keywords,Neuron No.1 Style,Neuron No.2 Style,Neuron No.3 Style,Neuron No.4 Style,Neuron Style 1 Keywords,Neuron Style 2 Keywords,Neuron Style 3 Keywords,Neuron Style 4 Keywords,Origin Neuron Focus,Origin Neuron Cognitive Demand,Origin Neuron Engagement,Origin Neuron Memory,Style 1 Neuron Focus,Style 1 Neuron Cognitive Demand,Style 1 Neuron Engagement,Style 1 Neuron Memory,Style 2 Neuron Focus,Style 2 Neuron Cognitive Demand,Style 2 Neuron Engagement,Style 2 Neuron Memory,Style 3 Neuron Focus,Style 3 Neuron Cognitive Demand,Style 3 Neuron Engagement,Style 3 Neuron Memory,Style 4 Neuron Focus,Style 4 Neuron Cognitive Demand,Style 4 Neuron Engagement,Style 4 Neuron Memory,Style 1 Heatmap %,Style 1 Red Dot %,Style 1 Yellow Dot %,Style 1 Green Dot %,Style 2 Heatmap %,Style 2 Red Dot %,Style 2 Yellow Dot %,Style 2 Green Dot %,Style 3 Heatmap %,Style 3 Red Dot %,Style 3 Yellow Dot %,Style 3 Green Dot %,Style 4 Heatmap %,Style 4 Red Dot %,Style 4 Yellow Dot %,Style 4 Green Dot %,Original Heatmap %,Original Red Dot %,Original Yellow Dot %,Original Green Dot %
Image 26: Hair Salon,Salon,4,2,1,3,"Bright, Unnatural, High Contrast","Black Logo, Low Contrast, Brown Base","Blurry, Aged Look, Yellow-Green Mix","Modern, Clear, White-Green Natural",2,1,3,4,"Below Sign, Right Window, Store Sign","Store Sign, Below Sign, Right Window","Below Sign, Three Focus, Minimal Else","Left Banner, Central Window, Minimal Else",68,67,78,49,64,41,84,43,64,42,81,51,73,42,85,40,88,42,66,38,33.715,4.279,5.352,14.746,32.298,4.37,2.997,17.452,34.012,6.084,3.353,12.854,20.753,3.847,1.85,9.622,34.073,3.151,3.856,17.431
Image 27: Nail Bar,Salon,4,2,1,3,"Red, Poor Reflection, Extreme","Modern, Gray-Orange, Slightly Dark","Pink, Aged, Unattractive","White, Brown, Modern",1,2,3,4,"Store Sign, Central Window, Bottom Signs","Central Window, Right Sign, Adjacent Windows","Central Window, Single Focus, Surrounding Attention","Central Window, Bottom Left, Bottom Right",41,57,74,42,49,42,71,28,70,40,59,26,69,39,63,34,73,39,66,33,49.835,6.176,8.677,23.341,34.503,4.582,3.619,16.229,38.566,4.08,3.828,16.195,30.099,4.895,5.061,10.406,49.192,2.925,3.509,26.592
Image 28: Nail Spa,Salon,2,3,4,1,"Bright Blue, Brown Base, Too Bright","Modern, Tidy, Gray-Orange","Soft, Natural, Blue-Brown Combo","Wooden, Green, Cluttered",2,4,1,3,"Store Sign, Below Sign, Strong Below Focus","Left Sign, Right Sign, Below Sign","Left Sign, Below Sign, Right Sign","Central Window, Green Connected, Loose Regions",50,51,60,19,60,33,52,28,55,35,47,17,68,35,56,18,62,34,63,30,33.552,3.783,5.157,17.62,35.652,7.607,2.815,13.006,29.578,3.24,2.926,12.044,31.716,7.549,6.052,11.743,35.284,6.946,3.424,16.372
Image 29: Nail Spa,Salon,2,3,4,1,"Red-White, Cheap Look, Bright","Orange-Black, Strong Contrast, Modern","Colorful, Dark Background, Welcoming","Brown, Green Sign, Dim",2,1,3,4,"Store Sign, Below Sign, Strong Below Focus","Left Sign, Right Sign, Below Sign","Left Sign, Below Sign, Right Sign","Central Window, Green Connected, Loose Regions",58,46,72,47,65,38,71,35,65,37,70,23,66,35,68,25,69,35,79,42,38.368,4.552,6.549,16.298,33.661,3.344,4.637,19.807,36.808,5.472,5.122,19.467,29.956,6.125,5.953,14.553,38.53,5.697,4.202,17.74
Image 30: Nail Spa and Wax Center,Salon,2,3,1,4,"Maroon, White Frame, Jarring","Modern, Black-Orange, Clear","Vividly, Natural, Colorful","Cluttered, Multicolored, Indistinct",4,3,2,1,"Left Sign, Broad Focus, Window","Left Sign, Right Sign, Below Sign","Left Sign, Right Sign, Below Sign","Store Sign, Below Sign, Bottom Left Window",67,46,58,36,80,43,64,52,74,41,46,18,79,35,61,30,55,37,55,48,24.787,1.936,3.882,11.565,26.108,5,2.502,10.617,22.571,4.507,2.693,7.602,32.97,3.231,3.281,13.567,29.939,4.098,2.655,14.567
Image 31: Nail and Hair,Salon,2,4,3,1,"Red, Cartoonish, Cheap","Gray-White Contrast, Clear, Crisp","Shadows, Mixed Colors, Chaotic","Soft, Orange-Green Mix, Natural",3,4,1,2,"Central Window, Store Sign, Expanded Focus","Central Window, Store Sign, Some Surrounding","Store Sign, Central Window, Balanced Focus","Store Sign, Below Sign, Minimal Else",65,44,90,43,59,29,57,35,74,29,46,18,49,28,61,25,60,28,47,29,42.527,4.585,6.985,20.809,34.047,4.588,3.87,12.256,40.657,5.698,3.784,16.452,33.592,5.11,3.769,12.921,62.155,5.752,2.915,20.221
Image 32: Nail Bar,Salon,2,1,3,4,"Simple, Luxurious, Clear","Minimalist, Black-White Contrast, Clear","Orange Sign, Blue-Gray Background, Prominent","Cyan, Wooden Feel, Colorful",3,2,4,1,"Store Sign, Surrounding Features, Bottom Windows","Store Sign, Central Window, Balanced Focus","Store Sign, Central Window, Stronger Sign Focus","Left Sign, Right Sign, Central Window",72,51,69,35,78,35,59,27,74,34,70,20,76,33,57,24,74,37,62,30,23.176,4.687,3.6,10.203,25.817,4.866,2.267,12.19,25.459,4.262,3.078,9.638,23.957,4.367,2.423,9.529,29.111,2.977,2.085,11.915
Image 33: Nail Bar,Salon,1,3,4,2,"Blue Roof, Red Sign, Clear","Dim, Unattractive, Indistinct","Welcoming, Color Defined, High Contrast","Modern Feel, Blurry, Hard To Read",1,2,4,3,"Bottom Left, Store Sign, Adjacent Tree","Store Sign, Bottom Left, Minimal Else","Bottom Left, Single Focus, No Surrounding","Bottom Left, Store Sign, Door",80,44,87,38,80,39,75,23,80,31,73,50,87,32,76,31,85,30,71,31,24.597,3.021,4.47,10.961,21.663,2.795,2.084,11.601,19.982,1.774,3.038,8.789,17.938,2.806,1.235,5.76,30.885,3.698,2.029,13.393
Image 34: Facial Spa,Salon,2,1,4,3,"Red-Gray Contrast, Clear, Bright","Simple, Defined Features, Clear","Dull, Aged, Roof Not Highlighted","Black-Green Mix, Blurry, Unfriendly",3,1,4,2,"Store Sign, Central Door, Balanced Focus","Right Window, Central Door, Minimal Else","Right Window, Central Door, Balanced Focus","Central Door, Right Window, Store Sign",88,43,67,45,73,36,65,34,89,35,67,27,69,32,60,31,81,30,68,50,30.459,5.396,3.984,10.24,19.802,3.231,1.395,8.845,33.136,6.488,3.069,13.211,24.367,3.932,3.347,10.119,26.038,2.769,1.786,12.554
Image 35: Facial Salon,Salon,1,2,4,3,"Yellow-Blue Contrast, Clear, Striking","Orange-Black, Indistinct, High Contrast","Color Chaos, Bright, Purple-Blue-Red","Wooden Feel, Brown-Green, Cluttered",3,1,2,4,"Store Sign, Central Window, Adjacent Windows","Central Door, Left Window, Store Sign","Store Sign, Right Window, Central Door","Central Door, Right Window, Store Sign",67,48,62,44,66,37,67,44,71,39,63,31,59,49,89,27,72,35,74,42,34.981,5.951,5.595,12.048,33.735,5.506,4.343,15.135,23.146,4.551,2.544,9.196,32.034,10.463,3.515,14.387,38.816,2.348,2.025,15.658
Image 36: Hair and Nail,Salon,2,4,1,3,"White-Brown Contrast, Shadowed, Blurry","Simple, Orange Highlight, Harmonious","Colorful Doors & Windows, Cluttered, Overloaded","Brown, Soft, Modern-Natural",1,2,3,4,"Central Door, Left Window, Pillar","Central Door, Bulletin Board, Adjacent Windows","Central Door, Minimal Else, Adjacent Windows","Central Door, Minimal Else, Adjacent Windows",61,42,74,34,75,34,72,46,84,34,73,43,82,33,71,37,89,33,77,33,27.141,3.922,4.505,17.031,21.547,3.35,1.58,8.977,,,,,19.242,3.22,2.829,6.455,23.313,1.028,1.553,12.181
Image 37: Barber Shop,Salon,2,1,3,4,"Red Sign, Bright, Clear Structure","Modern, Elegant, Sharp Contrast","Animated Feel, Colorful, Unfitting","Darkest, Unwelcoming, Hard To Read",3,1,2,4,"Bottom Sign Left, Bottom Sign Right, Upper Sign","Bottom Sign, Minimal Else, Focused Center","Store Sign, Bottom Window, Largest Focus","Upper Sign, Bottom Left, Minimal Else",50,34,62,69,73,31,44,37,81,32,64,36,63,30,51,57,69,31,58,42,29.287,4.482,3.565,15.01,22.106,3.098,1.816,10.434,31.277,4.596,3.551,12.222,35.359,4.669,2.458,20.192,32.01,1.571,2.407,14.722
Image 38: Hair Designer,Salon,4,1,2,3,"Bright, Vibrant, Welcoming","Dark Gray, Black, Cold","Animated, Colorful, Cartoonish","Simplistic, Natural, Wooden",2,4,1,3,"Store Sign, Central Window, Minimal Else","Left Sign, Right Sign, Central Window","Central Window, Minimal Else, Store Sign","Left Sign, Right Sign, Central Window",78,43,61,40,82,41,78,26,69,41,71,28,87,50,77,28,73,37,74,30,22.795,5.143,3.7,10.032,29.306,3.112,2.219,12.347,18.603,3.92,1.586,5.82,22.49,1.961,0.776,6.183,27.454,1.007,2.784,13.362
Image 39: Beauty Salon,Salon,2,4,1,3,"Too Bright, Cluttered, Overcolored","Simple, White-Gray Contrast, Natural","Poor Contrast, Purple, Rainbow Sign","Modern, Wooden, Green Tiles",3,2,2,1,"Store Sign, Central Window, Adjacent Windows","Store Sign, Central Window, Equal Focus","Store Sign, Central Window, Slight Sign Focus","Store Sign, Central Window, Bottom Plant",73,66,74,54,73,45,68,30,70,49,78,37,70,44,76,33,66,40,72,25,26.472,3.985,2.93,14.964,29.931,5.261,3.218,13.075,26.64,3.115,2.626,13.575,33.585,6.928,4.12,11.905,47.557,6.248,4.81,28.296
